City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,suez,29.9737,32.5263,30.58,46,0,2.83,EG,1723101675
269,dalnegorsk,44.5604,135.5701,29.75,48,79,1.02,RU,1723101676
270,happy valley-goose bay,53.3168,-60.3315,12.17,87,75,2.57,CA,1723101677
271,codrington,-38.2667,141.9667,11.79,76,100,9.3,AU,1723101679
272,al qitena,14.8648,32.3668,29.54,59,59,6.74,SD,1723101680
273,tazovsky,67.4667,78.7,13.09,56,79,5.06,RU,1723101682
274,utrik,11.2278,169.8474,28.42,77,1,6.59,MH,1723101683
275,bubaque,11.2833,-15.8333,26.21,83,100,7.02,GW,1723101685
276,vilyuysk,63.7553,121.6247,21.83,35,7,1.28,RU,1723101686
277,walvis bay,-22.9575,14.5053,11.72,78,0,1.81,NA,1723101687
278,lubango,-14.9172,13.4925,20.92,26,0,2.57,AO,1723101689
279,laascaanood,8.4774,47.3597,27.93,51,100,12.72,SO,1723101690
280,hailar,49.2,119.7,25.21,39,18,3.68,CN,1723101691
281,alofi,-19.0595,-169.9187,21.94,64,75,5.14,NU,1723101693
282,taltal,-25.4,-70.4833,13.76,64,0,0.17,CL,1723101694
283,nizhneudinsk,54.9076,99.0276,17.56,88,95,1.71,RU,1723101695
284,pemangkat,1.1667,108.9667,28.75,70,5,5.02,ID,1723101697
285,grande prairie,55.1667,-118.8027,12.1,87,20,3.09,CA,1723101698
286,tam ky,15.5667,108.4833,33.65,55,2,5.21,VN,1723101700
287,raymondville,26.4815,-97.7831,28.48,75,0,5.23,US,1723101701
288,yeppoon,-23.1333,150.7333,21.88,81,1,6.09,AU,1723101702
289,namtsy,62.7161,129.6658,23.35,34,39,1.12,RU,1723101703
290,stepnoye,51.4,46.8667,26.12,50,72,1.15,RU,1723101704
291,hasaki,35.7333,140.8333,32.94,78,0,2.97,JP,1723101706
292,sastobe,42.55,70.0,37.94,10,0,6.82,KZ,1723101707
293,kupang,-10.1667,123.5833,32.32,43,40,9.26,ID,1723101708
294,bulungu,-4.55,18.6,28.9,36,34,2.56,CD,1723101710
295,bom jesus,-9.0744,-44.3586,17.01,59,0,0.68,BR,1723101711
296,bam,29.106,58.357,38.81,7,2,6.27,IR,1723101712
297,campbell river,50.0163,-125.2446,20.25,80,1,3.11,CA,1723101713
298,makhambet,47.6667,51.5833,31.24,35,84,3.97,KZ,1723101717
299,ajdabiya,30.7554,20.2263,30.45,38,0,2.01,LY,1723101720
300,wynyard,-41.0,145.7167,11.75,80,100,6.71,AU,1723101721
301,greenland,43.0362,-70.8328,15.32,80,0,0.0,US,1723101723
302,santiago de cao,-7.9589,-79.2392,16.07,94,100,3.09,PE,1723101724
303,aasiaat,68.7098,-52.8699,3.23,95,100,3.31,GL,1723101726
304,narasannapeta,18.4167,84.05,32.81,58,70,2.51,IN,1723101727
305,tamandare,-8.7597,-35.1047,22.46,86,16,2.07,BR,1723101729
